Date,Day,Type,Title,Badge,Content
2026-04-08,พุธ,nogym,🏠 Home: Run + Pull,No Gym,"🎯 รักษา fitness ไม่มียิม — bodyweight + วิ่งนอก |  | Zone 2 Run: 40 min outdoor | Pull-ups: 4x8-10 BW | Dead Hang: 3x max BW | Plank: 3x45s BW"
2026-04-09,พฤหัสบดี,nogym,🏠 Home: HIIT + Core,No Gym,"🎯 รักษา fitness ไม่มียิม — bodyweight + วิ่งนอก |  | 5 rounds: | • Burpees x10 | • Air Squats x20 | • Push-ups x15 | • Mountain Climbers x20 | • Rest 90s |  | Core: Plank 45s + Side Plank 30s/side x3"
2026-04-10,ศุกร์,nogym,🏠 Home: Intervals,No Gym,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | Intervals: 6x 400m @ race pace | Rest: 90s | Cool-down: 10 min | Stretch: 10 min"
2026-04-11,เสาร์,nogym,🏠 Home: Strength,No Gym,"🎯 รักษา fitness ไม่มียิม — bodyweight + วิ่งนอก |  | 4 rounds: | • Bulgarian Split Squats 10/leg | • Pike Push-ups 12 | • Glute Bridges 15 | • Tricep Dips (chair) 15 | • Superman Hold 30s |  | Farmer Carry: กระเป๋าหนัก 3x50m"
2026-04-12,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-04-13,จันทร์,nogym,🏠 Home: Long Run,No Gym,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Long Run Zone 2: 70-85 min | OR | Active Recovery: Walk 45 min + Stretch 20 min |  | ฟังร่างกาย!"
2026-04-14,อังคาร,strength,Strength - Pull,60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 4x10 @ 42.5kg 🔥 | Lat Pulldown: 4x10 @ 47.5kg | Back Extension: 3x12 + 7.5kg | Sandbag Carry: 3x25m @ 20kg |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Burpees: 6 BW |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-04-15,พุธ,run,Zone 2 Run + Burden Run,60-70 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2 Run: 35 min | Burden Run practice: 20kg backpack x 200m x 3"
2026-04-16,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 45kg | Leg Press: 4x10 @ 115kg | Weighted Step Up: 4x10/leg @ 12kg/hand | Lunges: 100m @ 30kg → Run 800m (cramp prevention drill) | Calf Raise: 3x15 @ 65kg | Goblet Squat: 3x12 @ 16kg |  | Finisher: | Wall Balls: 3x20 @ 9kg (overload — แข่ง 6kg) |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-04-17,ศุกร์,run,Running Intervals,50-60 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | Intervals: 7x 400m @ race pace | Treadmill: 10.0-10.5 km/h | Rest: 90s | Cool-down: 10 min"
2026-04-18,เสาร์,strength,Strength - Mixed + Crucible,60-75 min,"🎯 ฝึก stations จริง — ร่างกายชินกับอุปกรณ์แข่ง |  | Sled Push/Pull: 6x25m | Farmer Carry: 4x50m @ 26kg/hand | Rope Lat Pulldown (Hoist sub): 4x10 @ 55kg | Heavy Sled Pull (Haul sub): 3x50m |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 12 @ 9kg | Min 2 — Burpees: 8 BW | Min 3 — Sled Push: 15m |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW |  | Transition Drill: | Run 400m → Wall Balls 25 @ 9kg → Run 400m"
2026-04-19,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-04-20,จันทร์,run,Long Run,70-80 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 80-90 min | Pace: 6:45-7:15 /km | Treadmill: 9.0-9.5 km/h | Building endurance!"
2026-04-21,อังคาร,strength,Strength - Pull,60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 5x5 @ 52.5kg 🔥 | Lat Pulldown: 5x5 @ 57.5kg | Back Extension: 3x12 + 10kg | Heavy Sled Pull: 3x40m |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Run: 100m |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-04-22,พุธ,run,Tempo Run + Upper,60-70 min,"🎯 threshold + strength — เพิ่มความเร็ววิ่งและแรงแขน |  | Tempo Run: 25 min @ 6:30-7:00/km | Treadmill: 9.0-9.5 km/h | HR: 155-165 bpm |  | Upper: | Chest Press: 3x10 @ 47.5kg | Face Pull: 3x15 @ 15kg | Rope Tricep Pushdown: 3x12 @ 22.5kg | Cable Curl: 3x12 @ 15kg"
2026-04-23,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 47.5kg | Leg Press: 4x10 @ 120kg | Weighted Step Up: 4x10/leg @ 12kg/hand | Leg Curl: 3x12 @ 45kg | Lunges: 3x12/leg @ 30kg | Burpees 40 → Run 800m (cramp drill) | Calf Raise: 3x15 @ 67.5kg | Goblet Squat: 3x12 @ 18kg |  | Finisher: | Wall Balls: 3x25 @ 9kg (overload — แข่ง 6kg) |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-04-24,ศุกร์,run,Running Intervals,50-60 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | Intervals: 8x 400m @ race pace | Treadmill: 10.0-10.5 km/h | Rest: 75s (decreasing) | Cool-down: 10 min"
2026-04-25,เสาร์,strength,Strength - Mixed + Crucible,70-80 min,"🎯 ฝึก stations จริง — ร่างกายชินกับอุปกรณ์แข่ง |  | Sled Push/Pull: 60m (race distance) | Farmer Carry: 4x50m @ 28kg/hand | Burden Run: 20kg x 400m (full distance!) | Heavy Sled Pull: 4x40m |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 15 @ 9kg | Min 2 — Burpees: 8 BW | Min 3 — Farmer Carry: 50m @ 24kg/hand |  | Core: | Pallof Press: 3x12/side @ 10kg |  | Transition Drill: | Run 400m → Sled Push 25m → Wall Balls 20 @ 9kg → Run 400m"
2026-04-26,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-04-27,จันทร์,run,Long Run,75-90 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 85-100 min | Pace: 6:45-7:15 /km | Treadmill: 9.0-9.5 km/h"
2026-04-28,อังคาร,strength,Strength - Pull (DELOAD),60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 3x8 @ 40kg 🔥 | Lat Pulldown: 3x8 @ 45kg | Back Extension: 2x10 + 10kg |  | Finisher: | Wall Balls: 3x25 @ 9kg (overload — แข่ง 6kg) |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-04-29,พุธ,run,Zone 2 Run,45-55 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2 Run: 45-55 min | Easy day before simulation"
2026-04-30,พฤหัสบดี,mixed,Crucible Simulation 50%,60-75 min,"🎯 จำลอง Crucible — ฝึก pacing ทุก station ก่อนแข่งจริง |  | 50% Simulation: | Run 300m → Row 20cal → Ski 20cal | Seated Row heavy: 4x8 @ 50kg (Erg sub) | Sandbag Carry: 3x25m @ 20kg | Rope Lat Pulldown: 4x10 @ 50kg (Hoist sub) | Burpees: 20 BW → Burden Run 200m | Sled Push: 3x25m → Heavy Sled Pull: 3x25m"
2026-05-01,ศุกร์,run,Recovery Run,30-40 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Easy Zone 2: 30-40 min | Recovering from simulation"
2026-05-02,เสาร์,strength,Strength - Mixed,60-75 min,"🎯 ฝึก stations จริง — ร่างกายชินกับอุปกรณ์แข่ง |  | Full body maintenance: | Sled Push/Pull: 4x30m | Farmer Carry: 3x50m @ 28kg/hand | Chest Press: 3x10 @ 47.5kg | Seated Row: 3x10 @ 45kg |  | EMOM 12 min (rotate): | Min 1 — Wall Balls: 15 @ 9kg | Min 2 — Burpees: 8 BW | Min 3 — Run: 150m |  | Core: | Hanging Knee Raise: 3x10 BW |  | Transition Drill: | Run 400m → Burpees 20 → Run 400m"
2026-05-03,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-05-04,จันทร์,run,Long Run,70-80 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 80-90 min | Pace: 6:45-7:15 /km | Treadmill: 9.0-9.5 km/h"
2026-05-05,อังคาร,strength,Strength - Pull PEAK,60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 5x4 @ 55kg 🔥 PEAK | Lat Pulldown: 5x4 @ 60kg | Back Extension: 3x10 + 15kg | Heavy but controlled |  | Finisher: | Wall Balls: 3x20 @ 9kg (overload — แข่ง 6kg) |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-05-06,พุธ,run,Tempo Run + Upper,60-70 min,"🎯 threshold + strength — เพิ่มความเร็ววิ่งและแรงแขน |  | Tempo Run: 25 min @ 6:20-6:50/km | Treadmill: 9.0-9.5 km/h | HR: 155-165 bpm |  | Upper: | Chest Press: 4x8 @ 50kg | Rope Tricep Pushdown: 3x12 @ 22.5kg | Cable Curl: 3x12 @ 17.5kg"
2026-05-07,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x8 @ 50kg | Leg Press: 4x8 @ 125kg | Weighted Step Up: 4x8/leg @ 14kg/hand | Leg Curl: 3x10 @ 47.5kg | Calf Raise: 3x15 @ 70kg | Goblet Squat: 3x12 @ 18kg |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Burpees: 6 BW |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-05-08,ศุกร์,run,Intervals - Sharpening,45-50 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | Intervals: 6x 400m @ slightly faster than race pace | Rest: 90s | Stay sharp!"
2026-05-09,เสาร์,mixed,Crucible Simulation 80%,75-90 min,"🎯 จำลอง Crucible — ฝึก pacing ทุก station ก่อนแข่งจริง |  | 80% Full Simulation: | Run 500m → Row 35cal → Ski 35cal | Seated Row heavy: 4x6 @ 55kg (Erg sub) | Sandbag Carry: 4x25m @ 20kg | Rope Lat Pulldown: 4x8 @ 55kg (Hoist sub) | Burpees: 35 BW → Burden Run 350m | Lactic Legs: 15 squat + 15m lunge @ 30kg | Sled Push: 4x25m → Heavy Sled Pull: 4x30m"
2026-05-10,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-05-11,จันทร์,run,Easy Run,30-40 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Recovery run after simulation | Zone 2: 30-40 min"
2026-05-12,อังคาร,strength,Light Strength - Pull,45-50 min,"🎯 รักษา strength ช่วง taper — ไม่หนักเกินจนล้า |  | Seated Row: 3x8 @ 40kg (light!) | Lat Pulldown: 3x8 @ 45kg | Back Extension: 2x10 BW | Stay loose; don't push |  | Finisher: | Wall Balls: 2x15 @ 9kg (overload — แข่ง 6kg) |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-05-13,พุธ,run,Easy Run,30 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Zone 2: 30 min | Legs fresh"
2026-05-14,พฤหัสบดี,strength,Light Strength - Push,45-50 min,"🎯 รักษา strength ช่วง taper — ไม่หนักเกินจนล้า |  | Chest Press: 3x8 @ 40kg | Weighted Step Up: 3x8/leg @ 10kg/hand | Mobility work |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-05-15,ศุกร์,run,Short Intervals,35-40 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | Intervals: 4x 200m @ race pace | Rest: 90s | Stay sharp but fresh!"
2026-05-16,เสาร์,recovery,Mobility & Activation,30 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Foam Roll all major muscles | Dynamic Stretch | Light activation: Band walks; Glute bridges | Visualize race!"
2026-05-17,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี | Prepare gear; hydrate"
2026-05-18,จันทร์,run,Shakeout Run,20 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Easy 20 min jog | Strides: 4x 50m | Stretch"
2026-05-19,อังคาร,recovery,Rest + Mobility,20-30 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Light walk 15-20 min | Mobility work | Hydrate well!"
2026-05-20,พุธ,run,Light Shakeout,15-20 min,"🎯 ฟื้นตัว active — เลือดไหลเวียนช่วยซ่อมกล้ามเนื้อ |  | Very easy 15 min | Strides: 3x 50m | Activation exercises"
2026-05-21,พฤหัสบดี,rest,REST,Pre-race,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Complete rest | Prepare nutrition | Pack race bag | Sleep early!"
2026-05-22,ศุกร์,rest,REST + Prep,Race Eve,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Complete rest | Carb load dinner | Visualize race strategy | Sleep 8+ hours"
2026-05-23,เสาร์,race,🔥 Crucible Race,Men's Silver,"🎯 วันแข่ง — ใช้ทุกอย่างที่ซ้อมมา ไปเต็มที่! |  | CRUCIBLE FITNESS GAMES | BRAVO BKK |  | 12 stations; 4 zones: | Zone 1 FIRE: Run 600m; Row 40cal; Ski 40cal | Zone 2 FORCE: Strength Erg; Deadball 50m; Sandbag Hoist 40m | Zone 3 FLOW: Burpees 40; Burden Run 400m; Cruciball 25 | Zone 4 FORGE: Lactic Legs; Sled 60m; Cruci-haul 150m |  | Damper: 4 on Row/Ski |  | อุปกรณ์ที่ซ้อมแทน: | Strength Erg → Seated Row heavy | Deadball → Sandbag Carry | Sandbag Hoist → Rope Lat Pulldown | Cruci-haul → Heavy Sled Pull"
2026-05-24,อาทิตย์,rest,REST,Recovery,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | Complete rest after Crucible | Hydrate; eat well; celebrate! 🎉"
2026-05-25,จันทร์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-05-26,อังคาร,recovery,Recovery Walk + Mobility,30-40 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Walk 20-30 min | Foam Roll full body | Stretch 15 min"
2026-05-27,พุธ,run,Easy Zone 2,30 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2: 30 min | If legs sore → just walk"
2026-05-28,พฤหัสบดี,strength,Light Upper,45-50 min,"🎯 รักษา strength ช่วง taper — ไม่หนักเกินจนล้า |  | Light weights | Seated Row: 3x10 @ 35kg | Lat Pulldown: 3x10 @ 40kg | Chest Press: 3x10 @ 40kg |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-05-29,ศุกร์,run,Zone 2 Run,35-40 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Zone 2: 35-40 min | Easing back in"
2026-05-30,เสาร์,strength,Light Lower,45-50 min,"🎯 รักษา strength ช่วง taper — ไม่หนักเกินจนล้า |  | Leg Press: 3x10 @ 100kg | Weighted Step Up: 3x10/leg @ 10kg/hand | Leg Curl: 3x10 @ 40kg | Calf Raise: 3x15 @ 60kg |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-05-31,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-06-01,จันทร์,run,Long Run,50-60 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 50-60 min | Rebuilding base"
2026-06-02,อังคาร,strength,Strength - Pull,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 30 min @ 6.5 km/h |  | PM — BACK TO HYROX FOCUS! | Seated Row: 4x10 @ 50kg 🔥 | Lat Pulldown: 4x10 @ 55kg | Back Extension: 3x12 + 15kg | Sled Pull: 5x30m |  | EMOM 10 min: | Odd min — Wall Balls: 12 @ 9kg | Even min — Burpees: 6 BW |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-06-03,พุธ,run,Zone 2 + SkiErg,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 40 min | SkiErg: 3x 500m @ race pace"
2026-06-04,พฤหัสบดี,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 50kg | Leg Press: 4x10 @ 130kg | Weighted Step Up: 4x10/leg @ 14kg/hand | Leg Curl: 3x12 @ 47.5kg | Wall Balls: 3x25 @ 9kg (overload — แข่ง 6kg) | Calf Raise: 3x15 @ 72.5kg | Goblet Squat: 3x12 @ 20kg |  | EMOM 10 min: | Odd min — Run: 100m | Even min — Wall Balls: 10 @ 9kg |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-06-05,ศุกร์,run,Intervals,50-60 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min | 8x 400m @ sub-2 target pace (< 7:30/km) | Treadmill: 10.5-11.0 km/h | Rest: 75s"
2026-06-06,เสาร์,strength,Hyrox Simulation Partial,60-75 min,"🎯 จำลองแข่ง — ฝึก pacing; transitions; nutrition strategy |  | Hyrox Partial Simulation: | Run 1km → SkiErg: 1000m | Run 1km → Sled Push: 3x30m | Run 1km → Sled Pull: 3x30m | Run 1km → Row: 1000m |  | Wall Balls: 3x25 @ 9kg (overload — แข่ง 6kg) (finisher) | Focus on transitions! |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW |  | Transition Drill: | Run 400m → Farmer Carry 100m → Run 400m"
2026-06-07,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-06-08,จันทร์,run,Long Run,75-90 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 85-100 min | Building for Hyrox distance"
2026-06-09,อังคาร,strength,Strength - Pull,AM Run + 60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | AM — Zone 2 Run: 30 min @ 6.5 km/h |  | PM: | Seated Row: 5x5 @ 60kg 🔥 | Lat Pulldown: 5x5 @ 65kg | Back Extension: 3x12 + 17.5kg | Dead Hang: 3x max |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
